使用成本中心,Manufacturing(一),,,
廠商名稱,敦華,,,
自組設備,P-00727,,,
財務專案,2021_T5_擴線專案_ASSY-TEST,,,
申請事由,自組設備 /M-Sensor /其他 /配線耗材 /P-00727 /無,,,
備註,MP03_ /T5 擴廠需求。 /M-sensor測站，複製16台。 /無 /P-00727 /PDO /吳禮仲 /無,,,
廠區,T5-XinShi,,,
需求日期,2021-06-25,,,
報價單,D:\Documents\_Hayman files\1_Project\羅盤\羅盤採購\20210309\G271525.PDF,,,
其他,D:\Documents\_Hayman files\1_Project\羅盤\羅盤採購\T5_GigaFactory\_Reference\請購報告_T5.pptx,,,
,,,,
類別,採購項目,數量,單價,細項描述
l-03.,ZB2-015,2,100,1.5mm 15M盒裝黑熱縮管
l-03.,KTC316-15A-1.8M,16,285,1開關3P6孔15A 1.8M排插
l-03.,CH318-06,16,376,3P 1開8插電源延長線1.8M
l-03.,9636-UL-3M,16,115,3P安規AC線18# 3M雙頭
l-03.,CV-165B,6,39,160x2.5 束線帶x100 黑
l-03.,HTS-205,8,180,M2六角塑膠柱4*5+5x100
l-03.,RY-12,100,31,0.5A 2P DC12V 繼電器 8Pin
l-03.,D09P-D09S-03M,80,82,9P公-母 3M 裝配
l-03.,USB20-APS-03M,40,66,USB2.0 A公-A母3M貝吉色
