使用成本中心,Manufacturing(一),,,
廠商名稱,可鑫,,,
自組設備,P-00727,,,
財務專案,2021_T5_擴線專案_ASSY-TEST,,,
申請事由,自組設備 /M-Sensor /其他 /線槽等耗材 /P-00727 /無,,,
備註,MP03_ /T5 擴廠需求。 /M-sensor測站，複製16台。 /無 /P-00727 /PDO /吳禮仲 /無,,,
廠區,T5-XinShi,,,
需求日期,2021-06-25,,,
報價單,D:\Documents\_Hayman files\1_Project\羅盤\羅盤採購\20210309\G271525.PDF,,,
其他,D:\Documents\_Hayman files\1_Project\羅盤\羅盤採購\T5_GigaFactory\_Reference\請購報告_T5.pptx,,,
,,,,
類別,採購項目,數量,單價,細項描述
l-03.,A39A0180x60,32,172,80x60開放式線糟 灰色 80X60 S開孔 一箱48支
l-03.,A39A0140x40,48,79,40x40開放式線糟 S出線孔 
l-03.,A23TT16-ALR47G1,40,133,16φ圓型交替照光-綠 TEND 24V LED 1A1B IP40
